"Step","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX"
"0","61.761850357055664","61.35670471191406","62.11107635498047","61.777793884277344","61.35670471191406","62.11107635498047","61.64544169108073","61.35670471191406","61.8656005859375","61.761850357055664","61.35670471191406","62.11107635498047","61.761850357055664","61.35670471191406","62.11107635498047"
"1","59.016249656677246","57.5838737487793","59.546749114990234","53.794151306152344","52.652061462402344","56.04002380371094","59.41313044230143","59.26943588256836","59.54485321044922","58.38248062133789","57.3957405090332","59.46782684326172","53.74094200134277","53.01050567626953","54.37920379638672"
"2","55.507911682128906","55.06690979003906","56.06280517578125","43.79894765218099","40.89301681518555","48.92308807373047","55.22955830891927","54.921775817871094","55.71514129638672","53.88789939880371","52.00532531738281","55.53509521484375","44.094661712646484","41.84900665283203","46.61840057373047"
"3","49.93253135681152","49.544776916503906","50.44112777709961","33.12728754679362","28.899826049804688","40.555843353271484","48.024861653645836","47.393898010253906","48.66851806640625","47.33678436279297","46.38689041137695","48.43391036987305","32.15325689315796","29.702407836914062","34.979469299316406"
"4","44.233985900878906","43.273399353027344","45.369293212890625","24.619067509969074","20.611984252929688","31.549001693725586","42.44463221232096","41.73150634765625","43.1827392578125","40.946351051330566","39.85416030883789","42.044918060302734","23.612668991088867","20.461639404296875","26.763214111328125"
"5","36.850358963012695","35.90653991699219","37.77192306518555","18.032416661580402","14.744852066040039","24.398609161376953","34.51459503173828","33.90936279296875","35.44306182861328","32.71153450012207","31.583839416503906","35.15461730957031","17.36440372467041","15.281193733215332","19.342082977294922"
"6","29.50540018081665","28.445877075195312","30.57379150390625","14.805855751037598","12.262818336486816","19.69900894165039","28.735593795776367","27.785232543945312","29.46035385131836","26.461939811706543","24.81330680847168","28.535133361816406","14.420934438705444","12.880456924438477","15.898513793945312"
"7","21.138899326324463","20.524320602416992","22.08915901184082","12.26178010304769","10.351692199707031","15.878896713256836","22.106618245442707","20.634618759155273","23.809513092041016","19.10528039932251","17.249614715576172","21.460552215576172","12.018064975738525","10.703350067138672","13.247610092163086"
"8","15.009668827056885","14.053182601928711","16.472198486328125","10.406827926635742","8.958012580871582","13.213373184204102","17.340051651000977","15.66257095336914","18.987180709838867","14.640990495681763","13.164958953857422","17.049224853515625","10.147740125656128","9.097530364990234","11.011225700378418"
"9","9.110225796699524","7.7296462059021","10.665966033935547","9.214232762654623","8.072711944580078","11.4588623046875","12.71767520904541","10.136229515075684","14.45987319946289","10.09068751335144","8.59807014465332","11.41604232788086","9.109790563583374","8.265029907226562","9.98515796661377"
"10","6.260311126708984","5.724368095397949","7.489922523498535","8.86802895863851","7.728665351867676","11.055829048156738","9.531200408935547","7.97012996673584","10.664714813232422","7.67562997341156","6.840900897979736","8.950973510742188","8.970806360244751","8.103888511657715","9.876392364501953"
"11","5.162807822227478","4.851463794708252","5.902469635009766","7.6836503346761065","6.724361419677734","9.397775650024414","7.7449727058410645","6.430849075317383","8.844635009765625","5.939818859100342","5.426449775695801","6.807575225830078","7.639296889305115","6.8950724601745605","8.26542854309082"
"12","4.639273405075073","4.422699451446533","5.170553684234619","7.35387643178304","6.482921600341797","8.965911865234375","6.350399335225423","6.06272029876709","6.769935607910156","5.240601062774658","4.768418312072754","6.079139232635498","7.267343282699585","6.496565818786621","8.001413345336914"
"13","4.0958704352378845","3.975226640701294","4.191161632537842","6.769120852152507","5.800577163696289","8.291826248168945","5.259331703186035","4.974447250366211","5.673508167266846","4.7403364181518555","4.481609344482422","5.049199104309082","6.615803122520447","6.035957336425781","7.179827690124512"
"14","3.8909597396850586","3.8316402435302734","3.987248420715332","6.283126036326091","5.462947845458984","7.713101387023926","4.865131696065267","4.697267532348633","5.022965431213379","4.6344088315963745","4.427358627319336","4.982269287109375","6.18901252746582","5.535484313964844","6.701805114746094"
"15","3.656286299228668","3.473905563354492","3.7389492988586426","5.668822765350342","4.949411392211914","7.0981645584106445","4.611915588378906","4.494990348815918","4.729748725891113","4.2579227685928345","4.092247009277344","4.395620346069336","5.5208598375320435","4.920766353607178","6.176332473754883"
"16","3.4351502060890198","3.3535757064819336","3.476408004760742","5.174129327138265","4.527692794799805","6.427635192871094","4.2903798421223955","4.160703182220459","4.504175186157227","4.156175971031189","4.034396648406982","4.372438430786133","5.189038157463074","4.715548515319824","5.653082370758057"
"17","3.238087296485901","3.198911190032959","3.2770237922668457","5.177643934885661","4.47285795211792","6.546290397644043","4.131738821665446","3.9577136039733887","4.380620002746582","4.0273396372795105","3.8972599506378174","4.2228546142578125","4.993978023529053","4.532179355621338","5.491643905639648"
"18","3.0453606247901917","2.777555465698242","3.1718454360961914","4.646886030832927","3.9136900901794434","5.983001708984375","4.019513924916585","3.9476499557495117","4.122395038604736","3.8892067670822144","3.7248787879943848","4.047122478485107","4.535692453384399","4.070131778717041","5.213194847106934"
"19","2.8730140328407288","2.7297801971435547","3.022827386856079","4.350067138671875","3.7644948959350586","5.486088275909424","3.887678941090902","3.7553553581237793","3.9717702865600586","3.686210870742798","3.573204517364502","3.8188672065734863","4.222441613674164","3.8196842670440674","4.642888069152832"
"20","2.6730054020881653","2.604991912841797","2.787489652633667","4.358543952306111","3.813352584838867","5.440594673156738","3.744865894317627","3.6602723598480225","3.826733112335205","3.5566259026527405","3.498505115509033","3.6669199466705322","4.215113997459412","3.7087831497192383","4.903955936431885"
"21","2.4927332997322083","2.38800311088562","2.570845603942871","4.171091874440511","3.6311850547790527","5.086094856262207","3.574633757273356","3.467761516571045","3.762363910675049","3.437801420688629","3.2930240631103516","3.6350796222686768","4.00040203332901","3.3007445335388184","4.517124176025391"
"22","2.5415807962417603","2.3160626888275146","2.80635142326355","3.963192939758301","3.220534324645996","5.118119716644287","3.5204569498697915","3.4659862518310547","3.590195655822754","3.27453351020813","3.1398093700408936","3.5428037643432617","3.7902620434761047","3.308176279067993","4.300940990447998"
"23","2.134234309196472","1.9566197395324707","2.225847005844116","3.64776078859965","3.0494143962860107","4.477469444274902","3.2673048973083496","3.0930261611938477","3.402103900909424","3.0248149633407593","2.8985986709594727","3.2907943725585938","3.566855311393738","3.106156349182129","3.9778597354888916"
"24","2.0541433095932007","1.9733829498291016","2.11539626121521","3.652998367945353","3.180110216140747","4.51892614364624","3.1413207054138184","3.073273181915283","3.1913723945617676","2.9443063139915466","2.828746795654297","3.1847150325775146","3.5915899872779846","3.1855459213256836","4.080489158630371"
"25","1.8499935865402222","1.7663310766220093","1.919278860092163","3.3579208056131997","2.922718048095703","4.1692938804626465","2.936041275660197","2.8876841068267822","2.9640822410583496","2.687669575214386","2.58717942237854","2.9322309494018555","3.3410375118255615","2.8859739303588867","3.812227487564087"
"26","1.7577286958694458","1.609626054763794","1.8738913536071777","3.0581932862599692","2.6455466747283936","3.741384506225586","2.827543576558431","2.771639585494995","2.8625905513763428","2.502380132675171","2.3193254470825195","2.69404935836792","2.9733611345291138","2.4898715019226074","3.464872360229492"
